Temps,Taille de la population
0.0,0
100.00047300868547,1771
200.0038843442598,2120
300.00012260235064,2350
400.0004454621002,2324
500.00407352018294,2491
600.001229408867,2661
700.0043537606412,2563
800.0021663995909,2320
900.0111597657036,2198
1000.0076165446709,2025
1100.037992414276,1974
1200.0204804387529,1862
1300.0059689978787,1568
1400.0016028414284,1657
1500.007450137318,1503
1600.0005047204972,1529
1700.004819270377,1358
1800.0093314506184,1246
1900.0026740637936,1214
2000.0026438339964,1087
2100.006409380573,1145
2200.0292478431634,1137
2300.0100761253098,978
2400.004324736489,971
2500.018312334388,1016
2600.0121526275752,1020
2700.0194721573503,1072
2800.001336122181,1221
2900.00721318965,1189
3000.001978205282,1189
3100.0418475252704,881
3200.0114915022123,771
3300.0236039127803,763
3400.0019433982634,666
3500.0214562529077,829
3600.0004148010594,762
3700.014535313403,750
3800.003309468178,846
3900.0028914458685,1040
4000.0029913591625,1188
4100.012233462739,1269
4200.006383701788,1040
4300.001836456046,977
4400.020919186792,962
4500.020371388173,1172
4600.010189257765,1085
4700.00118331108,995
4800.025552707206,1213
4900.001407310525,1040
5000.00094971932,1035
5100.014315771352,924
5200.000195575954,977
5300.090521089389,758
5400.000611521087,743
5500.00641988884,772
5600.01451630066,745
5700.000093964111,719
5800.004749719234,642
5900.024588778199,692
6000.062726190445,476
6100.029224179972,411
6200.012536792071,360
6300.007923135669,366
6400.052132003768,351
6500.010141263304,388
6600.0147792961625,310
6700.07311840737,271
6800.006340939234,255
6900.060260746989,120
7000.014056801673,127
7100.22680884023,175
7200.005942766825,181
7300.137946614435,214
7400.092047493827,194
7500.000681927406,254
7600.030010328086,205
7700.0006844117415,254
7800.101806298909,172
7900.00934613321,198
8000.021611704617,290
8100.024695310705,296
8200.00431338201,300
8300.004723474607,324
8400.040334809357,264
8500.035263795608,220
8600.001392541793,185
8700.03755674746,203
8800.066764945965,177
8900.000914938415,176
9000.002964473277,164
9100.013932868635,194
9200.022271083808,129
9300.069862341881,111
9400.00377666955,98
9500.268108050972,59
9600.091143348867,115
9700.011232275347,130
9800.236051363448,73
9900.463299519353,37
10000.093323021314,46
Temps,Aieux
10000.093323021314,26
10000.093323021314,26
10000.093323021314,26
10000.093323021314,26
10000.093323021314,26
10000.093323021314,26
10000.093323021314,26
10000.093323021314,26
10000.093323021314,26
10000.093323021314,26
10000.093323021314,26
10000.093323021314,26
10000.093323021314,26
10000.093323021314,26
10000.093323021314,26
10000.093323021314,26
10000.093323021314,26
10000.093323021314,26
10000.093323021314,26
10000.093323021314,26
10000.093323021314,26
10000.093323021314,26
10000.093323021314,26
10000.093323021314,26
10000.093323021314,26
10000.093323021314,26
9930.341587915333,25
9873.450171882789,25
9811.678497143392,25
9766.8134744249,25
9730.518535460593,25
9701.015624445894,25
9678.805858679407,25
9661.622882695161,25
9634.864680814184,25
9610.507587386113,25
9584.452330038848,25
9537.024796222999,25
9510.409531080122,25
9481.01065437329,25
9451.323690872445,25
9416.983055251783,25
9388.822266981368,25
9370.505394891306,25
9342.982173595023,25
9325.714422464676,25
9275.623422048631,25
9246.455124475255,25
9216.905265511214,25
9184.313391700583,25
9166.569763249545,25
9125.44887838137,25
9083.87824930908,25
9032.168629698705,25
9003.380827981997,25
8947.160361703427,25
8923.027438580357,25
8898.031651685767,25
8834.36205025735,25
8790.598603710507,25
8745.316644815653,25
8700.260726211865,25
8663.556597626055,25
8615.825026403509,25
8585.885058777916,25
8567.918397981579,25
8547.845947078991,25
8489.956589130185,25
8456.264787051347,25
8439.330409547145,25
8412.194735625237,25
8376.728412894026,25
8358.368443725576,25
8305.324100905626,25
8265.019413235053,25
8224.314922102894,25
8177.2065818976525,25
8148.033367024306,25
8108.49563110319,25
8068.0006483202815,25
8039.715442180919,25
8000.916710541243,25
7949.082177895563,25
7927.346864412337,25
7901.928122918665,25
7862.53984611271,25
7830.08623780891,25
7811.177550501006,25
7768.07723173375,25
7719.555111361512,25
7661.40472792729,25
7614.192287530572,25
7571.032219840286,25
7508.610513858726,25
7447.642904597428,25
7405.906396202707,25
7378.786832780906,25
7361.313816501416,25
7302.803133257993,25
7284.982539868049,25
7249.269687716024,25
7213.4228032907085,25
7171.336614644325,25
7128.365104273624,25
7099.980830160346,25
7070.9811385252915,25
7051.9125878818895,25
7018.741041126142,25
6994.846480530449,25
6969.396677378343,25
6946.26977379877,25
6895.346427796256,25
6849.201519037227,25
6815.182970170991,25
6761.352875896351,25
6704.061271168248,25
6684.5232248830425,25
6640.0934468515225,25
6605.133541011928,25
6570.613865995612,25
6541.952042497708,25
6515.185532888566,25
6451.3199135302275,25
6435.072105287299,25
6399.106497901186,25
6375.400276796868,25
6317.048393371601,25
6270.531577251119,25
6228.551466129318,25
6159.4198371264,25
6134.991112656059,25
6104.1776666518235,25
6081.384066486292,25
6058.377437485612,25
6003.6805423933665,25
5959.843311684997,25
5935.441648205419,25
5916.664207047055,25
5883.43982580319,25
5866.637115169719,25
5820.24209670814,25
5752.227239995203,25
5734.803225912053,25
5699.525363156319,25
5645.85324661782,25
5608.408545344883,25
5556.783130426033,25
5495.726003675704,25
5476.66270555617,25
5445.274138353789,25
5421.619487176048,25
5381.8618654133015,25
5350.155837885551,25
5308.56201666772,25
5290.521983872685,25
5253.202877015003,25
5214.3323561341585,25
5190.644077867722,25
5167.86282782329,25
5117.975256572799,25
5079.064670984072,25
5062.975880035738,25
5014.8952539719985,25
4996.890799341188,25
4959.952026700839,25
4927.2667732890895,25
4883.129418059128,25
4862.545308041346,25
4831.178325609682,25
4813.108080568352,25
4770.553745614269,25
4748.58010015986,25
4708.116188850036,25
4662.560782265385,25
4629.295498710018,25
4603.6333797683665,25
4573.8602965436785,25
4557.667134417505,25
4533.67386282983,25
4479.153478694093,25
4425.8871062658645,25
4396.213444628541,25
4371.86870813008,25
4326.3358250284755,25
4304.129632363691,25
4279.787821905183,25
4232.764789752416,25
4169.173013281898,25
4116.698137596722,25
4088.300229318053,25
4059.5964439093163,25
4029.3784695098425,25
4011.681183357916,25
3985.3780489286974,25
3961.282462309123,25
3917.452627202568,25
3899.937677061801,25
3868.730605452504,25
3824.002098678069,25
3791.2219747947615,25
3744.2117234462157,25
3702.972404263002,25
3682.0677753478076,25
3658.24469428556,25
3628.363753688818,25
3567.9936143735954,25
3547.805522987881,25
3501.6516133084647,25
3482.4113566868004,25
3438.190347587518,25
3417.1718874182784,25
3393.7573271539277,25
3340.66743645902,25
3316.164882784478,25
3299.8283715465136,25
3264.155306832793,25
3207.6369490488414,25
3179.4615877828433,25
3125.5494459602705,25
3092.1854299314277,25
3065.802489572866,25
3039.1948623787384,25
3009.965672059491,25
2988.188522013846,25
2926.8019170051352,25
2909.4708414799934,25
2853.3578787392576,25
2817.426868501119,25
2784.9146543483735,25
2763.331556764209,25
2744.5832209745836,25
2710.194909651186,25
2675.2618152183563,25
2648.491850126686,25
2631.2406161760273,25
2614.118891622388,25
2564.9893534474527,25
2528.097190348034,25
2491.5978421291643,25
2436.833674452483,25
2405.283530284483,25
2356.146873081281,25
2337.513791012365,25
2294.1146871638502,25
2275.8265696966077,25
2246.0224855765696,25
2225.1925285754896,25
2194.919023928298,25
2156.840211855132,25
2103.477989801057,25
2080.4348963033617,25
2044.561808106625,25
1999.6048890500279,25
1980.316663961153,25
1962.5860985049324,25
1932.9482892663584,25
1882.4442138050151,25
1852.4862738827685,25
1789.510397366652,25
1734.8422961149913,25
1671.2749257147077,25
1641.0686191731206,25
1597.9758807174803,25
1559.2510041512107,25
1528.036350283979,25
1487.6060345040394,25
1460.1283585131382,25
1439.8249026314952,25
1389.9223679970983,25
1335.1103721925606,25
1313.7427328467309,25
1278.4416859310636,25
1244.00480742703,25
1208.817229939675,25
1180.2182536852292,25
1158.2333695425536,25
1129.974265208379,25
1096.7824961391138,25
1072.341062008416,25
1035.7294828319398,25
991.8372342844814,25
941.538204692003,25
892.6556813163111,25
833.8125757763443,25
816.2109068226838,25
779.5285313096704,25
736.7320179980212,25
686.476610965572,25
644.8990733063171,25
598.406309680053,25
566.3453375709817,25
549.1330886668524,25
515.0786139667838,25
496.1128994877043,25
448.39969020344284,25
388.0757392268487,25
347.3861442495579,25
320.6115121337918,25
271.3821937854078,25
216.04896141512077,25
187.83196211962627,25
159.32530100152616,25
121.98679327578004,25
56.560147490220146,25
9936.983710607312,25
9913.705900886596,25
9873.652972580277,25
9847.943776012527,25
9830.602967804787,25
9791.997858698705,25
9730.443590652292,25
9699.851500068407,25
9681.682811125951,25
9649.49942975637,25
9604.28268712648,25
9587.120461761224,25
9568.747590231487,25
9513.71661893432,25
9473.23533508826,25
9446.523149603154,25
9417.505368326736,25
9381.119749349871,25
9356.642770577084,25
9307.894497281468,25
9286.914385144819,25
9234.19165950153,25
9213.718230771068,25
9186.419652337347,25
9133.950639857465,25
9083.768565502069,25
9051.495193880472,25
9019.44287666301,25
8993.096499357142,25
8955.809319043086,25
8931.192082853731,25
8891.90218226116,25
8860.973115653838,25
8815.321874406724,25
8790.598603710507,25
8745.316644815653,25
8700.260726211865,25
8663.556597626055,25
8615.825026403509,25
8585.885058777916,25
8567.918397981579,25
8547.845947078991,25
8489.956589130185,25
8456.264787051347,25
8439.330409547145,25
8412.194735625237,25
8376.728412894026,25
8358.368443725576,25
8305.324100905626,25
8265.019413235053,25
8224.314922102894,25
8177.2065818976525,25
8148.033367024306,25
8108.49563110319,25
8068.0006483202815,25
8039.715442180919,25
8000.916710541243,25
7949.082177895563,25
7927.346864412337,25
7901.928122918665,25
7862.53984611271,25
